Comparing to baseline with opponent black model: never 
|     | Policy                                                               | Black Model   |   Mean VP |   Difference (Policy - Baseline) |   Difference Std. Error |
|----:|:---------------------------------------------------------------------|:--------------|----------:|---------------------------------:|------------------------:|
|   0 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'G', 'P']           | never         |   38.267  |                        3.50033   |                0.167688 |
|   1 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'P']                | never         |   38.2053 |                        3.43867   |                0.167389 |
|   2 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'G', 'P', 'Y']      | never         |   37.2653 |                        2.49867   |                0.164509 |
|   3 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'R', 'G', 'P']      | never         |   36.7747 |                        2.008     |                0.176729 |
|   4 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'R', 'P']           | never         |   36.755  |                        1.98833   |                0.174528 |
|   5 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'P', 'Y']           | never         |   36.6843 |                        1.91767   |                0.163395 |
|   6 | Chip Prioritisation - Buy only ['O', 'BL', 'R', 'P']                 | never         |   36.332  |                        1.56533   |                0.172175 |
|   7 | Chip Prioritisation - Buy only ['BK', 'BL', 'P']                     | never         |   36.2573 |                        1.49067   |                0.167273 |
|   8 | Chip Prioritisation - Buy only ['BK', 'BL', 'G', 'P']                | never         |   36.1717 |                        1.405     |                0.165434 |
|   9 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'G']                | never         |   35.9177 |                        1.151     |                0.163818 |
|  10 | Chip Prioritisation - Buy only ['BK', 'BL', 'G', 'P', 'Y']           | never         |   35.8137 |                        1.047     |                0.163809 |
|  11 | Chip Prioritisation - Buy only ['O', 'BL', 'R']                      | never         |   35.6647 |                        0.898     |                0.181507 |
|  12 | Chip Prioritisation - Buy only ['O', 'BL', 'R', 'G', 'P']            | never         |   35.5773 |                        0.810667  |                0.166432 |
|  13 | Chip Prioritisation - Buy only ['O', 'BK', 'BL']                     | never         |   35.555  |                        0.788333  |                0.159702 |
|  14 | Chip Prioritisation - Buy only ['BK', 'BL', 'P', 'Y']                | never         |   35.5353 |                        0.768667  |                0.160631 |
|  15 | Chip Prioritisation - Buy only ['O', 'BK', 'R', 'G', 'P']            | never         |   35.4647 |                        0.698     |                0.167102 |
|  16 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'R']                | never         |   35.3017 |                        0.535     |                0.175435 |
|  17 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'R', 'G']           | never         |   35.2633 |                        0.496667  |                0.17517  |
|  18 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'G', 'Y']           | never         |   35.162  |                        0.395333  |                0.162397 |
